role_name,required_skills,min_experience_years,description
Machine Learning Engineer,"Python,Machine Learning,Deep Learning,TensorFlow,PyTorch,Scikit-learn,Statistics,Feature Engineering,Model Deployment,SQL","1","Builds, trains, and deploys machine learning models into production systems. Owns the full ML lifecycle from data preparation and experimentation to model serving, monitoring, and retraining pipelines."
Data Scientist,"Python,Machine Learning,Statistics,Pandas,NumPy,Data Visualization,SQL,Data Cleaning,Probability,Matplotlib","1","Analyzes complex data to extract insights and build predictive models. Translates business questions into statistical experiments and communicates findings to stakeholders through dashboards and reports."
AI Engineer,"Python,Deep Learning,Natural Language Processing,Computer Vision,TensorFlow,PyTorch,Neural Networks,Model Deployment,Docker,AWS","1","Designs and implements AI systems including NLP and computer vision applications. Bridges research and production, integrating trained models into scalable services."
Generative AI Engineer,"Python,Large Language Models,Natural Language Processing,Hugging Face,PyTorch,REST API,Model Deployment,Docker,AWS,SQL","1","Builds applications powered by large language models, including retrieval-augmented generation pipelines, prompt engineering, fine-tuning, and LLM-backed APIs."
Python Developer,"Python,Django,Flask,REST API,SQL,Git,OOPs,Data Structures,Algorithms,Linux","0","Develops backend applications and services using Python frameworks, focusing on clean, testable, and maintainable server-side code."
Data Analyst,"SQL,Excel,Pandas,Data Visualization,Power BI,Tableau,Statistics,Data Cleaning,Python,Communication Skills","0","Interprets data trends and creates reports and dashboards to support business decisions, working closely with stakeholders to define metrics and KPIs."
Backend Developer,"Python,Java,Node.js,REST API,SQL,MongoDB,Docker,Git,Data Structures,Algorithms","1","Builds and maintains server-side logic, databases, and application APIs, ensuring performance, security, and scalability of backend services."
Frontend Developer,"JavaScript,TypeScript,React,HTML,CSS,REST API,Git,Vue.js,Angular,API Integration","0","Builds responsive, accessible user interfaces and client-side application logic, translating design mockups into performant, well-tested UI code."
Software Engineer,"Java,C++,Data Structures,Algorithms,OOPs,Git,SQL,Problem Solving,Agile,Linux","0","Designs, develops, and maintains software applications across the stack, participating in code review, testing, and system design discussions."
Data Engineer,"Python,SQL,AWS,Docker,MongoDB,PostgreSQL,Data Cleaning,Linux,Kubernetes,Algorithms","1","Builds data pipelines and infrastructure for large-scale data processing, ensuring data quality, reliability, and availability for downstream analytics and ML teams."
Full Stack Developer,"JavaScript,React,Node.js,HTML,CSS,REST API,MongoDB,Git,SQL,TypeScript","1","Develops both front-end interfaces and back-end services for web applications, owning features end-to-end from database schema to UI."
Cloud Engineer,"AWS,Azure,GCP,Docker,Kubernetes,Linux,Python,Git,Agile,Problem Solving","1","Manages cloud infrastructure, deployment pipelines, and system scalability, designing resilient architectures across public cloud providers."
DevOps Engineer,"Docker,Kubernetes,CI/CD,AWS,Linux,Git,Python,System Design,GitHub,Agile","1","Automates build, test, and deployment pipelines, manages infrastructure as code, and improves system reliability, observability, and release velocity."
